Moisture,Temparature,Humidity,soil temperature
71,0,0,0
70,30.5,20,28.38
70,30.9,20,28.06
70,30.4,20,27.87
69,30.3,20,27.69
70,30.1,20,27.44
69,30.1,20,27.25
69,30,20,27.06
69,30,20,26.87
69,30.2,20,26.75
69,30.2,20,26.56
69,30.1,20,26.37
71,30.2,20,26.25
69,30.4,20,25.75
72,30.2,20,25.37
73,30.2,20,25.12
75,30.2,20,25
76,30.3,24.1,24.81
78,30.3,24.6,24.69
79,30.2,25.1,24.56
79,30.3,25.2,24.44
79,30.3,25.6,24.37
77,30.2,26.3,24.25
77,30.2,27,24.12
77,30.3,27.3,24.06
77,30,28.1,24
76,30,28.6,23.94
76,30.1,29.2,23.87
76,30.2,29.9,23.81
76,30.2,30.6,23.75
76,30,31.9,23.69
75,29.8,32.8,23.62
74,29.6,33.8,23.62
72,29.8,33.8,23.62
72,29.8,33.9,23.56
71,29.7,34.3,23.56
71,29.7,34.6,23.56
71,29.5,35,23.5
71,29.6,35,23.44
71,29.6,35.1,23.44
71,29.5,35.2,23.44
70,29.5,35.6,23.44
70,29.5,35.3,23.31
70,29.4,35.3,23.31
70,29.4,35.2,23.31
69,29.4,35.4,23.38
69,29.5,35.2,23.31
69,29.6,35.4,23.31
69,29.4,35.5,23.25
69,29.4,35.9,23.19
69,29.4,36,23.19
69,29.3,36.3,23.12
68,29.2,36.6,23.12
68,29.2,36.6,23.12
67,29.2,36.7,23.31
67,29.4,36.6,23.31
67,29.7,36.1,23.25
67,29.8,35.8,23.25
67,29.7,35.9,23.31
67,29.7,35.7,23.19
67,29.8,35.4,23.25
67,29.8,35.4,23.25
67,29.8,35.3,23.25
66,29.3,36.1,23.25
66,29.3,36.3,23.25
66,29.6,35.9,23.25
66,29.6,35.8,23.25
66,29.6,35.7,23.19
66,29.6,35.7,23.25
66,29.6,35.6,23.25
66,29.6,35.8,23.19
66,29.6,35.7,23.25
66,29.6,35.8,23.19
65,29.6,35.8,23.19
65,29.6,35.7,23.19
65,29.5,35.8,23.19
65,29.5,35.8,23.19
65,29.5,35.9,23.12
65,29.5,36,23.12
65,29.5,36.1,23.19
65,29.5,36.2,23.12
64,29.5,36.2,23.19
64,29.6,35.8,23.19
64,29.5,35.7,23.12
64,29.5,35.7,23.19
64,29.4,35.5,23.12
64,29.4,35.3,23.06
64,29.4,35,23.12
64,29.4,34.8,23.06
64,29.3,34.7,23.12
64,29.2,34.7,23.06
63,29.1,34.6,23.12
63,29.1,34.5,23.06
63,29.1,34.3,23.06
63,29.2,34.3,23.06
63,29.3,34.3,23
63,29.2,34.5,23.06
63,29.2,34.6,23
63,29,34.6,23.06
63,29,34.7,23
63,29,34.8,23
63,29,34.8,23
62,29,34.9,22.94
62,29.1,35.1,22.94
62,29,35.4,23
62,29.1,35.8,23
62,29,36.1,23
62,29,36.6,23
62,29,36.9,23
61,28.9,37.2,23
61,28.8,37.5,22.94
61,28.8,37.6,23
61,28.8,37.8,23
61,28.8,38,23
61,28.8,38.2,22.94
61,28.7,38.4,22.94
61,28.7,38.4,23
60,28.7,38.4,23
60,28.7,38.2,22.94
60,28.7,38.2,22.94
60,28.7,38.2,22.94
60,28.7,38.2,22.94
60,28.7,38.3,22.87
61,28.6,38.3,22.87
60,28.6,38.2,22.94
60,28.6,38.1,22.87
59,28.6,38.1,22.87
60,28.5,38.2,22.87
59,28.6,38.1,22.87
59,28.5,38,22.87
59,28.5,38,22.81
59,28.5,37.9,22.87
59,28.5,37.9,22.81
59,28.5,37.8,22.81
59,28.5,37.8,22.81
59,28.5,37.7,22.81
59,28.5,37.6,22.81
59,28.4,37.6,22.75
59,28.4,37.5,22.75
59,28.4,37.5,22.75
59,28.4,37.4,22.75
59,28.4,37.4,22.81
59,28.2,37.5,22.69
59,28.2,37.4,22.75
58,28.1,37.4,22.69
58,28.1,37.2,22.62
58,28.2,37.2,22.69
58,28.2,37.2,22.62
57,28.2,37.3,22.62
58,28.2,37.3,22.69
58,28.1,37.3,22.62
58,28,37.4,22.69
58,28,37.5,22.62
57,28,37.5,22.69
58,27.9,37.6,22.62
58,28,37.4,22.62
58,28,37.4,22.69
58,27.8,37.4,22.75
59,27.4,37.9,22.75
58,27.3,38.1,22.87
58,27.5,37.2,22.94
57,27.3,37.5,23
57,27.6,37.2,23.06
58,27.9,36.7,23.19
57,28.2,36.7,23.25
58,28.2,37,23.38
57,28.1,36.5,23.44
57,27.6,37.8,23.5
57,28,37.3,23.56
57,27.7,37.9,23.56
57,28,37.6,23.69
57,28.1,37.4,23.69
57,28,37.5,23.69
57,28.1,37.3,23.75
56,28.1,37.4,23.81
56,28.1,37.5,23.87
57,28.1,37.4,23.81
57,28.2,37.2,23.87
59,28.3,37.1,24
58,28.4,37.5,23.94
58,28.4,36.9,23.87
56,28.3,37.8,23.75
56,28.4,37.7,23.75
55,28,36.5,23.75
55,29,34.7,23.75
55,28.7,34.5,23.81
56,28.8,34.2,23.87
56,29.2,33.1,23.94
55,29.2,34.1,24.06
56,28.6,34.1,24.06
57,29.5,30.7,24.12
57,32.1,27.8,24.06
57,31,28.1,24.12
58,29.5,31,24.12
57,29.3,31.1,24.12
57,29,30.5,24.12
57,29,31.7,24.19
57,28.9,31.6,24.19
57,28.8,29.9,24.19
57,28.8,30.2,24.25
56,28.7,31.1,24.19
57,28.8,30.1,24.19
56,28.9,30.3,24.31
56,28.9,30.4,24.25
56,29.1,30.8,24.31
56,29.1,30.7,24.31
55,29.1,30.2,24.31
55,29.1,28.7,24.31
56,29.3,27.2,24.31
57,29.1,29.2,24.37
56,29.1,28.9,24.37
55,29.2,28.8,24.44
55,29.1,29.2,24.37
55,29.2,28.8,24.44
56,29.2,27.9,24.5
55,29.1,27.8,24.44
55,29.2,26.9,24.44
55,29.2,26.8,24.44
55,29.4,26.2,24.5
59,0,0,0
57,28.2,27.2,25.31
56,29.2,28.6,25.31
56,29.5,28.2,25.25
56,29.6,27.7,25.25
57,29.7,27.3,25.19
57,29.8,27.1,25.12
57,29.9,27.3,25.06
57,29.9,27.5,25
57,30,27.4,25
57,29.8,27.9,24.94
57,29.8,28,25
57,29.9,28.2,24.94
57,30,29.1,24.94
57,29.9,29.4,25
57,30,29.6,25
57,30,29.8,25
57,30,31.2,24.94
57,29.9,32.5,25
57,30,31.7,25.06
57,30,31.8,25.06
57,29.9,32.2,25.06
58,0,0,0
57,29.6,34.1,24.69
57,29.6,34.4,24.56
64,0,0,0
66,29.3,35.4,24.31
66,29.3,35.5,24.31
67,29.5,35.2,24.25
67,29.5,35.4,24.06
67,29.5,35.7,24
67,29.6,35.9,23.94
67,29.4,37,23.81
66,29.1,37.9,23.81
66,29.1,38.3,23.69
66,29.1,38.7,23.62
66,29.1,39.1,23.56
66,28.9,39.6,23.56
66,28.9,40.1,23.56
66,28.9,40.6,23.56
65,29,40.8,23.5
65,28.9,41.2,23.5
65,28.8,41.8,23.44
65,28.9,42.2,23.44
65,29,42.2,23.44
65,28.8,42.7,23.44
65,28.9,43,23.44
64,28.9,43.9,23.44
64,29.1,43.8,23.56
64,29.6,42.8,23.62
64,29.6,42.8,23.75
64,29.3,43.7,23.87
64,29.1,44.7,23.94
64,29.2,44.6,24.06
64,29.2,44.9,24.12
63,29,45.3,24.25
63,28.6,46.4,24.25
63,28.6,46.4,24.31
63,28.8,46.3,24.25
62,28.8,46.4,24.19
62,28.7,46.7,24.12
62,28.7,46.9,24.06
62,28.7,46.9,24
62,28.9,46.6,23.94
62,28.9,46.3,23.81
62,28.8,46.1,23.81
62,28.9,46,23.81
61,28.9,46.2,23.81
61,28.9,46.4,23.69
61,28.9,46.3,23.69
61,28.7,46.6,23.62
61,28.7,46.8,23.62
61,28.7,47,23.56
61,28.7,47.1,23.62
61,28.8,46.9,23.5
60,28.8,46.8,23.56
60,28.9,46.8,23.56
60,28.8,47,23.56
60,29.1,46.6,23.56
59,29.3,46.1,23.62
59,29,46.8,23.56
59,29.2,46.6,23.56
59,28.9,47.3,23.56
59,29,47.4,23.56
59,28.8,47.9,23.56
59,28.9,47.9,23.56
59,29,47.7,23.56
